Name,Address,Lat,Long,Status,Status_Simple,Owner,Owner Type,Operator,Developer,Capacity MW electricity,Capacity MW gas,Capacity MW heat,Tonnes of waste pa,Typology Of Technology,Simple Renewable Technology  Type,Technology Provider,Potential Carbon Reduction (tonnes),Calculated Carbon Reduction (Tonnes per year),Conditions For Deployment,Timetable,Other Associated Infrastructure,Scale,Cost Of Deployment,Readiness Of Technology,Source of information,Date found,Found by
Energy Centre,"135 - 137, Digbeth, Birmingham, B5 6DR ",52.476916,-1.892106,21 August 2009. Application 2009/00295/PA.,Operating,Salhia Investments (Birmingham) limited/HSBC Bank,NHS,,Architect: Trevor Horne Architects,,,,,"Energy centre using an Aquifer Thermal Energy Storage system (ATES), CHP. BREEAM Standard - Sustainability level 4 homes",Battery,,,0,,,,,,,,,
Advanced Thermal Conversion Technology and AD,Washwood Heath Freight Yard North Of Common Lane Washwood Heath Birmingham B8 2SQ,52.502313,-1.840871,Planning Permission Granted 2015/06588/PA,Operating,,Private,,,10,,,,Advanced Thermal Conversion and Anaerobic Digestion - 8MWe Energy from Waste and 2MWe AD,Energy from Waste,,,26911,,,,"195,000 tonnes per annum of waste

An 8MWe (megawatt electrical) Pyrolysis Advanced Conversion Technology
(ACT) plant which would recover approximately 128,000 tonnes of Municipal Solid Waste (MSW) and Commercial and Industrial Waste (C&I) per annum.
A 2MWe (megawatt electrical) Anaerobic Digestion (AD) facility which would recover approximately 67,000 tonnes of green (pure biomass) waste per annum.",,,,,Becki Clark
Smurfit Kappa SSK AD,B7 5RE,52.49688,-1.863391,Operating since 2012,Operating,Smurfit Kappa,Private,Smurfit Kappa,Smurfit Kappa UK Ltd,0.808,,,20000,"CHP from paper mill effluent, 20,000tpa",Energy from Waste,,,2174,,,,,,,https://www.google.com/maps/d/u/0/viewer?mid=1Qf92NTQfp73mglljO7i9YdoOMKk&ll=52.446041831445655%2C-2.0045622992163317&z=10,3/10/18,Becki Clark
Coleshill Sewage Treatment Works,B46 1DA,52.518572,-1.713052,Operating since 2014,Operating,,Private,,Severn Trent Water,2.3,,,50000,"CHP waste organic fraction of MSW and C&I waste and energy crops, 50,000tpa.",Energy from Waste,,,6189,,,,,,,https://www.google.com/maps/d/u/0/viewer?mid=1Qf92NTQfp73mglljO7i9YdoOMKk&ll=52.48181042883584%2C-1.7594298529272692&z=10,3/10/18,Becki Clark
Brookfield Farm,DY9 0DL,52.394156,-2.130206,Operating since 2017,Operating,,Private,,OMNI Heat and Power,0.052,,,8000,"CHP Farm fed with 8,000tpa cattle slurry.",Energy from Waste,,,140,,,,,,,https://www.google.com/maps/d/u/0/viewer?mid=1Qf92NTQfp73mglljO7i9YdoOMKk&ll=52.45754952167613%2C-2.001129071677269&z=9,3/10/18,Becki Clark
Packington Generation Plant Phase 3,"Packington House, Packington Ln, Meriden, Coventry CV7 7HN",52.46351,-1.684111,1st December 2005,Operating,Energy Developments UK / SITA UK,Commercial,,,8.47,,,,Landfill gas,Landfill Gas,,,22793,,,,,,,,,
New School (PFI) Energy Centre,"Plantsbrook School, Upper Holland Road, Sutton Coldfield, Birmingham, B72 1RB",52.559067,-1.819316,Planning Permission Granted 2015/02634/PA,Operating,Carillion Construction Ltd,Commercial,,Seymour Harris Architecture,,,,,"Solar PV Roof Mounted
Gas Fired micro-CHP Unit",Photovoltaics,,,0,,,,,,,,11/10/18,Jodie Schram
Gas Turbine - CHP,"Heartlands Parkway, Birmingham B7 5AR",52.495223,-1.864485,Operational,Operating,Smurfit Kappa SSK,Commercial,Smurfit Kappa SSK,,8.7,,8.6,,CHP - Gas Turbine,Combined heat and power,,,23412,,,,"Gas turbine
Electrical Generation Capacity (kWe) 8,700
Predicted annual Heat Generation (MWh) 75,450",,,,12/10/18,Jodie Schram
"Gas Turbine - CHP
University of Birmingham","University of Birmingham, B15 2TT",52.450726,-1.930544,Operational,Operating,University of Birmingham ,Private,Veolia,,5.9,,5.9,,CHP - Gas Turbine,Combined heat and power,,CHP system is estimated to save the university 550 tonnes of CO2 emissions per annum,15877,,,,"375kWe CHP
Electrical Generation Capacity (kWe) 5,913
Predicted Annual Heat Generation (MWh) 51,280",,,,12/10/18,Jodie Schram
Birmingham Marriott Hotel CHP,"Five Ways, 12 Hagley Rd, Birmingham B16 8SJ",52.472261,-1.91958,Operational,Operating,Marriot Hotel ,Commercial,,,0.165,,0.11,,Reciprocating engine - CHP,Combined heat and power,,,444,,,,"Electrical Generation Capacity (kWe) 165
Predicted Annual Heat Generation (MWh) 954",,,,12/10/18,Jodie Schram
Birmingham Womens Hospital CHP ,"Birmingham Womens Hospital, Birmingham B15 2TG",52.453323,-1.942915,Operational,Operating,,NHS,,,0.375,,0.25,,Reciprocating engine - CHP,Combined heat and power,,,1009,,,,"Electrical Generation Capacity (kWe) 375
Predicted Annual Heat Generation (MWh) 2,168",,,,15/10/18,Jodie Schram
